textid	text	target
11	Mí tɛ́ tó yɛ è Jérome Hungbɔ wlí é wú .	PRON VERB VERB DET PRON PROPN PROPN VERB PRON ADP PUNCT
12	" Acɛkpìkpà ɔ́ ɖò nukɔntɔ́ sinsɛn gun lɛ́ɛ tɔn kpódó tòví lɛ́ɛ bǐ kpán dá wɛ ɖɔ ye ní wànǔ xwédó nǔzɔnmɛ nɛ́ lɛ́ɛ bǐ bónú è na síxú nyí lè nú tò ɔ́ bǐ " " gǎn - hɔn - yì - tɔ́ Sacca Lafia wɛ́ lá wɛn nɛ́ .	PUNCT NOUN DET VERB NOUN ADV NOUN DET ADJ CCONJ NOUN DET ADJ CCONJ VERB VERB ADP PRON ADP VERB NOUN NOUN ADJ DET ADJ SCONJ PRON VERB VERB AUX ADP ADP NOUN DET ADJ PUNCT PUNCT NOUN PUNCT VERB PUNCT VERB PUNCT ADJ PROPN PROPN VERB VERB NOUN ADJ PUNCT
13	È sú sinsɛnnuwatɛn lɛ́ɛ sín azǎn 22ɔ́ xwèjísùn ɔ́ tɔn ɖokpóo .	PRON VERB NOUN DET ADV NOUN NUM PROPN DET ADJ ADV PUNCT
14	Sùn we wɛ è ná ɖayǐ " din ɔ́ è dlɛn kàn ná káká yì azǎn 19ɔ́ lidósùn ɔ́ tɔn gbè .	NOUN NUM VERB PRON VERB ADV PUNCT ADV DET PRON VERB NOUN VERB ADV VERB NOUN NUM PROPN DET ADJ NOUN PUNCT
15	Klisanwun lɛ́ɛ xò Pasikwa sín hwenu ɔ́ zlɛ má lya yɛhwenɔ xwédó yetɔn lɛ́ɛ kpódó goxɔ yetɔn lɛ́ɛ kpán .	NOUN DET ADV PROPN ADP NOUN DET VERB VERB VERB VERB NOUN ADJ DET CCONJ NOUN ADJ DET CCONJ PUNCT
16	Kàn è è lɛ́ gbɛ dó amisa xwé lɛ́ɛ " sɛkpetɛn lɛ́ɛ " goxɔ lɛ́ɛ kpódó hùnkpámɛ lɛ́ɛ kpán súsú nù ɔ́ " ná xò flógò malɛnu wú alɔkpa vò .	NOUN PRON PRON ADV VERB ADP NOUN NOUN DET PUNCT NOUN DET PUNCT NOUN DET CCONJ NOUN DET CCONJ NOUN ADP DET PUNCT VERB VERB VERB PROPN ADP NOUN ADP PUNCT
17	Malɛnu lɛ́ɛ ná bɛ́ nublabla aklunɔzangbla ée jǎwe ɔ́ mɛ̀ .	NOUN DET VERB VERB NOUN NOUN PRON VERB DET ADP PUNCT
18	Yehwe xà dó kpɔ́ ée gblamɛ agùn ví lɛ́ɛ nɔ́ kplé ɖè ɔ̀ ɖě ná tîin ǎ .	NOUN ADV VERB VERB PRON ADP NOUN ADV DET VERB VERB ADP DET ADJ VERB VERB PART PUNCT
19	Ɖò azǎn 17ɔ́ lidósùn ɔ́ tɔn gbè ɔ́ " Benɛ xlé ɖɔ mɛ 35 wɛ́ bɛ́ azɔnkwín kolonâ ɔ́ .	ADP NOUN NUM PROPN DET ADJ NOUN DET PUNCT PROPN NOUN ADV NOUN NUM VERB VERB NOUN PROPN DET PUNCT
20	Azɔn gbɔ nú mɛ 18 .	NOUN ADP ADP NOUN NUM PUNCT
21	È ɖò mɛ 16 tɔ́jú wɛ .	PRON VERB NOUN NUM ADJ ADP PUNCT
22	Mɛ ɖokpó gée jɛn ká kú .	NOUN NUM PRON VERB ADV VERB PUNCT
23	Ɖò linlin ɖokpó nɛ́ mɛ̀ ɔ́ " wěmá yí bó ná byɔ́ Benɛ tò mɛ̀ ɔ́ " ɖó jlɛ̌ .	ADP NOUN NUM ADJ ADP DET PUNCT NOUN VERB ADP VERB VERB PROPN NOUN ADP DET PUNCT VERB VERB PUNCT
24	Mɛ ɖěbǔ ée ná dó jɔhɔnmɛ hún bó ná wá Benɛ ɔ́ " è ná zín jí tɔn bɛ́ ná nɔ avatɛn nú azǎn 14 hwɛ̌ .	NOUN ADJ PRON VERB VERB VERB ADP ADP VERB VERB PROPN DET PUNCT PRON VERB VERB ADP ADJ CCONJ VERB VERB NOUN ADP NOUN NUM ADV PUNCT
25	Énɛ́ wú ɔ́ " è yí xɔ̀ ɖélɛ́ɛ ɖò gbɛɖutɛn ɖélɛ́ɛ .	PRON ADP DET PUNCT PRON VERB NOUN ADJ ADP NOUN DET PUNCT
26	Acɛkpìkpà ɔ́ ná sú akwɛ́ Benɛ ví ée è bɛ́ yì avatɛn lɛ́ɛ kɛɖɛ tɔn .	NOUN DET VERB VERB NOUN PROPN ADV PRON PRON VERB VERB NOUN DET NOUN ADJ PUNCT
27	Kponɔ lɛ́ɛ ná jɛhun ayǐ nɛ́ɛ jí bɔ ayijayǐ ná tîin .	NOUN DET VERB VERB NOUN ADJ ADP CCONJ NOUN VERB VERB PUNCT
28	Gǎn - hɔn - yì - tɔ́ lɛ́ɛ yì hɔn bó ɖè gbetakɛ́n tɔ́n ɖɔ mɛɖé kún sɔ́ ná zɛhwɛ yì azɔgbénu ɖě ó " nǔwíwá ɖé " agɔ̌ ɖúɖú gannyǐ gannyǐ ée ná kunkpla lɔ̌n yì jǐ lɔ̌n fɔn kàn " hwɛndo nú wíwá " sinsɛn nú wíwá " tòxò ɖíɖɔ́ ɖé kún ná tîin ó "	NOUN PUNCT VERB PUNCT VERB PUNCT ADJ DET VERB VERB ADP VERB NOUN ADJ ADJ PRON ADP VERB VERB VERB VERB NOUN DET ADP PUNCT NOUN DET PUNCT NOUN VERB ADV ADV PRON VERB NOUN ADV VERB ADV ADV VERB NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADV DET ADP VERB VERB ADP PUNCT
29	mɔ̌ ɖokpó ɔ́ hwɛ zizɛ mímɛ́ yì Maka ɖě sɔ́ ná tîin ǎ .	NOUN NUM DET VERB VERB PRON VERB PROPN ADJ VERB VERB VERB PART PUNCT
30	Galiou Soglo " gǎn - hɔn - yì - tɔ́ xóxó ée ɖò nǔ sɔ́ wɛ bó ná yì sɔ́mì sɔ́mì ɔ́ tògán sísɔ́ tɔn ée ɖò azǎn 11ɔ́ lidósùn xwè 2021ɔ́ tɔn gbè ɔ́ " awě ɖé xò é ɖò axɔ́súzángbè azǎn 5ɔ́ zofínkplɔ́sùn ɔ́ tɔn gbè bɔ̀ è gblé wǔ í kpódó tú kpán .	PROPN PROPN PUNCT NOUN PUNCT VERB PUNCT VERB PUNCT ADJ ADJ PRON VERB NOUN AUX VERB ADP VERB VERB NOUN NOUN DET NOUN NOUN ADJ PRON VERB NOUN NUM PROPN NOUN NUM ADJ NOUN DET PUNCT NOUN ADV VERB PRON VERB NOUN NOUN NUM PROPN DET ADJ NOUN CCONJ PRON VERB NOUN ADP CCONJ ADP CCONJ PUNCT
31	É yí kpɛ́n bɔ è kplɛ́ yì CNHU " Hubert Maga tɔn ɖò Kutɔnu . Ví sunnu tògán xóxó Nicéphore Soglo tɔn ɔ́ xwè glè tɔn mɛ̀ ɖò tokpɔnlaví kpanrou tɔn ée ɖò tokpɔnla Agbomɛ Kánɖòfí é mɛ̀ " bɔ adǎn mɔ̌wun dó gbó é axɔ́súzángbè ée wá yì é gbadanu .	PRON VERB VERB CCONJ PRON VERB VERB PROPN PUNCT PROPN PROPN ADJ ADP PROPN PUNCT PRON NOUN NOUN ADJ PROPN PROPN ADJ DET NOUN NOUN ADJ ADP ADP NOUN ADV ADJ PRON VERB NOUN NOUN PROPN PART ADP PUNCT CCONJ NOUN ADJ ADP ADV PRON NOUN PRON VERB VERB PART NOUN PUNCT
32	É ko bló azǎn atɔn din bɔ nǔ nɛ́ jɛ " lě nǔ lɛ́ɛ ká nyí gbɔn ɔ́ " mɛɖé ká ko tuun ǎ " mɛ bǐ wɛ́ flú ɖémɛ .	PRON ADV VERB NOUN NUM ADV CCONJ NOUN ADJ VERB PUNCT ADJ NOUN DET ADV AUX ADP DET PUNCT NOUN ADV ADV VERB PART PUNCT PRON ADJ VERB NOUN ADV PUNCT
33	Tòxò ɖɔ́ gbɛta lɛ́ɛ kplé bó ɖè ɖɔ nú è sè tɔ́n bó ɖɔ nǔ mɔ̌wun kún ɖó ná jɛ ó ; ye wɛ́ nyí " Démocrates lɛ́ɛ́ " FCBE " PRD " Front pour la restauration de la démocratie . "	NOUN ADV NOUN DET VERB ADP VERB VERB ADP PRON VERB ADJ ADP VERB NOUN ADJ ADP ADV VERB VERB ADP PUNCT PRON VERB AUX PUNCT PROPN DET PUNCT PROPN PUNCT PROPN PUNCT NOUN NUM PART PROPN ADV PART NUM PUNCT PUNCT
34	Ye ɖò acɛkpìkpà ɔ́ dá wɛ ɖɔ ní bló gbɔn ɖě bó tá myɔ dó xó nɛ́ jí " ní bó ká lɛ́ xò kàn nú ayi - ná - jayǐ nú tòví lɛ́ɛ .	PRON VERB NOUN DET VERB VERB PRON ADP VERB ADP ADJ ADP VERB ADV VERB NOUN ADJ ADP PUNCT ADP ADP ADV DET VERB NOUN ADP NOUN PUNCT VERB PUNCT VERB ADP NOUN DET PUNCT
35	Nukɔntɔ́ tòxó ɖɔ́ gbɛta tɔn lɛ́ɛ gege hwlɛndo bó yì bà gǎn - hɔn - yì - tɔ́ xóxó ɔ́ kpɔ́n ɖò dotóoxwé .	NOUN NOUN VERB NOUN ADJ DET ADV VERB ADP VERB ADP NOUN PUNCT VERB PUNCT VERB PUNCT ADJ NOUN DET VERB ADP NOUN PUNCT
36	Walɔ yaɖé yaɖé nɛ́ ɔ́ byɔ́ tutomɛ è acɛkpìkpà ɔ́ sɔ́ ɖayǐ bó ná liza xá azɔnkwín é mɛ̀ .	NOUN ADJ ADJ ADJ DET VERB NOUN PRON NOUN DET VERB ADV ADP VERB VERB ADV NOUN ADP ADP PUNCT
37	" Di lě mí ko tuun gbɔn é ɔ́ " sín hwenu azɔnkwín nɛ́ ko wá é ɔ́ " acɛkpìkpà ɔ́ sɔ́ walɔ ɖé dó tè bó ná nɔ́ cyɔn alɔ mɛ ée gosin tò gudo lɛ́ɛ jí ná .	PUNCT ADV ADJ PRON ADV VERB ADP PART DET PUNCT ADV NOUN NOUN ADJ ADV VERB PART DET PUNCT NOUN DET VERB NOUN ADJ ADP VERB ADP VERB VERB VERB NOUN NOUN PRON VERB NOUN ADV DET ADP ADP PUNCT
38	Mì nɔ́ bɛ́ yě dó avatɛn nú azǎn woɛnɛ " bɔ azǎn nɛ́ lɛ́ɛ gblamɛ ɔ́ " mì nɔ́ gbéjé azɔnkwín ɔ́ ɖò lanmɛ nú yemɛ ée gosin tò mɛ̀ hwɛ̌ có bó nɔ́ jó yě dó " Benjamin Hùnkpátín wɛ́ flín nǔ nɛ́ .	PRON VERB VERB PRON ADP NOUN ADP NOUN NUM PUNCT CCONJ NOUN ADJ DET ADP DET PUNCT PRON VERB VERB NOUN DET VERB NOUN ADP PRON PRON VERB NOUN ADP ADV ADP CCONJ VERB VERB PRON ADP PUNCT PROPN PROPN VERB VERB NOUN ADJ PUNCT
39	FCBE wá tɛn ɔ́ mɛ̀ " è síxú gɔn má wɔ́ ǎ .	PROPN VERB NOUN DET ADP PUNCT PRON VERB NOUN VERB VERB PART PUNCT
40	Tòxó ɖɔ́ gbɛta nɛ́ ée má ɖò gbè ɖokpó ɔ́ dó xá acɛkpìkpà ɔ́ wɛ ǎ ɔ́ yì sɔ́mì sɔ́mì ɖɛmɛnu lɛ́ɛ tɔn ée wá yì é ɔ́ ǎ .	NOUN ADV NOUN ADJ PRON VERB VERB NOUN NUM DET VERB ADV NOUN DET SCONJ PART DET VERB NOUN NOUN NOUN DET ADJ PRON VERB VERB PART DET PART PUNCT
41	Nukɔntɔ́ tɔn lɛ́ɛ wá bó ná nyǐkɔ́ yetɔn wěmá mɛ̀ " Paul Hunkpɛ " wěgbójínɔtɔ́ tòxó ɖɔ́ gbɛta ɔ́ tɔn wɛ́ nyí ahwan nukɔn sya ɔ́ .	NOUN ADJ DET VERB ADP VERB NOUN ADJ NOUN ADP PUNCT PROPN PROPN PUNCT NOUN NOUN VERB NOUN DET ADJ VERB AUX NOUN ADJ ADV DET PUNCT
42	Ɖibla nyí gàn xixo ɖokpó ɔ́ mɛ̀ xá FCBE sín mɛ lɛ́ɛ ɔ́ " tòxó ɖɔ́ gbɛta acɛkpìkpà ɔ́ tɔn " UP " ée nyí kplékplé ɖɛmɛnu 46 tɔn ɔ́ " lɔ́ɔ wá CENA bó dó nyǐkɔ́ yetɔn wěmá mɛ̀ .	NOUN AUX NOUN NOUN NUM DET ADP ADV PROPN ADP NOUN DET DET PUNCT NOUN VERB NOUN NOUN DET ADJ PUNCT PROPN PUNCT PRON AUX NOUN NOUN NUM ADJ DET PUNCT ADV VERB PROPN ADP VERB NOUN ADJ NOUN ADP PUNCT
43	Modeste Kérékou " gǎn - hɔn - yì - tɔ́ ée nɔ́ kpénúkún dó azɔxwé klewun klewun lɛ́ɛ kpódó kàn vlɔn nú azɔ̌ bíbá kpán wú ɔ́ " hùn nǔ sín azɔxwé kanɖó gbásá ée ná nɔ́ kpénúkún azɔ̌ xó wú é ɔ́ nù .	PROPN PROPN PUNCT NOUN PUNCT VERB PUNCT VERB PUNCT ADJ PRON AUX VERB ADP NOUN ADV ADV DET CCONJ NOUN VERB ADP NOUN VERB CCONJ ADP DET PUNCT NOUN NOUN ADP NOUN NUM NOUN PRON VERB VERB VERB NOUN ADJ ADP PART DET ADP PUNCT
44	Azɔbatɔ́ lɛ́ɛ hɛn din ɔ́ " " ye ná kpé azɔxwé gege ɖò nɔtɛn ɖokpó ɔ́ " bó hɛn ɔ́ " ye ná sɔ́ nǔtuuntuun yetɔn kpódó nyɔ̌wa yetɔn kpán dó ajò " lóbónú è ɖó hudo yetɔn ɔ́ " è ná yí yě " " nǔ è é ɖɔ è nɛ́ .	NOUN DET VERB ADV DET PUNCT PUNCT PRON VERB VERB NOUN ADV ADP NOUN NUM DET PUNCT ADP VERB DET PUNCT PRON VERB VERB NOUN ADJ CCONJ NOUN ADJ CCONJ ADP NOUN PUNCT NOUN PRON VERB NOUN ADJ DET PUNCT PRON VERB VERB PRON PUNCT PUNCT NOUN PRON PRON VERB PRON ADJ PUNCT
45	Azɔxwé 42 wɛ è sɔ́ ɖótè bó ná yí mɛ ée ɖò azɔ̌ bá wɛ lɛ́ɛ lě è ɖó hudo nyɔ̌wa yetɔn tɔn gbɔn é .	NOUN NUM VERB PRON VERB ADV ADP VERB VERB PRON PRON VERB NOUN CCONJ VERB DET ADV PRON VERB NOUN NOUN ADJ ADJ ADP PART PUNCT
46	Hwenu è hùn azɔxwé kanɖó gbásá nɛ́ ɔ́ toolo ɔ́ " ye sukpɔ́ bó wá bó hɛn azɔ̌ bá wémá yetɔn alɔ nù lóbó nú è ná cyan xó xá yě bó ná yí yě lě jɛxa gbɔn lé .	NOUN PRON VERB NOUN NUM NOUN ADJ DET NOUN DET PUNCT PRON ADV ADP VERB ADP VERB NOUN ADP NOUN ADJ NOUN ADP CCONJ ADP PRON VERB VERB ADJ ADV PRON ADP VERB VERB PRON ADV VERB ADP ADV PUNCT
47	Mɛ ée ɖò mɛ bá ná yí do azɔmɛ wɛ lɛ́ɛ ɔ́ " tɛn 1704 wɛ́ ɖò ye sí .	NOUN PRON VERB NOUN ADP VERB VERB ADP NOUN ADP DET DET PUNCT NOUN PROPN VERB ADP PRON ADP PUNCT
48	Mɛ ée ɖò azɔ̌ bá wɛ bɔ è má yí yě din ǎ lɛ́ɛ ɔ́ " azɔxwé lɛ́ɛ ná wá ɖó hudo yetɔn lóbó ná yí yě .	NOUN PRON VERB NOUN ADP VERB CCONJ PRON VERB VERB PRON ADV PART DET DET PUNCT NOUN DET VERB VERB ADP NOUN ADJ CCONJ VERB VERB PRON PUNCT
49	Ɖi lě è lá gbɔn ɖò kplé gǎn - hɔn - yì - tɔ́ lɛ́ɛ tɔn ɔ́ ɖò azǎn 24ɔ́ xwèjísùn ɔ́ tɔn ɔ́ " yɛ̌n dó bá gán ɖò kovidi - 19 sí ɔ́ ná bɛ́ ɖò azǎn 29ɔ́ xwèjísùn xwè 2021ɔ́ tɔn gbè ɖò Kutɔnu .	ADP ADJ PRON VERB ADP ADP VERB NOUN PUNCT VERB PUNCT VERB PUNCT ADJ DET ADJ DET ADP NOUN NUM PROPN DET ADJ DET PUNCT NOUN VERB VERB NOUN ADP NOUN PUNCT NUM VERB DET VERB VERB VERB NOUN NUM PROPN NOUN NUM ADJ NOUN ADP PROPN PUNCT
50	Mɛ nukɔntɔn è è ná dó yɛ̌n nɛ́ ná ɔ́ wɛ́ nyí gǎn - hɔn - yì - tɔ́ ée nɔ́ kpénúkún dó lanmɛ ná nɔ̀ ganjí wú é " Benjamin Hùnkpátín .	NOUN NOUN PRON PRON VERB VERB VERB ADJ VERB DET VERB AUX NOUN PUNCT VERB PUNCT VERB PUNCT ADJ PRON AUX VERB ADP NOUN VERB VERB ADV ADP PART PUNCT PROPN PROPN PUNCT
51	Benɛ yí yɛ̌n 144000 " AstraZenéca " tɔn kpódó yɛ̌n 203000 " CoronaVac " tɔn kpán .	PROPN VERB DET NUM PUNCT PROPN PUNCT ADJ CCONJ DET NUM PUNCT PROPN PUNCT ADJ CCONJ PUNCT
52	Mɛ nukɔntɔn ée ná dó yɛ̌n nɛ́ lɛ́ɛ wɛ́ nyí dotóo lɛ́ɛ " mɛ ée ko ɖò azɔn ɖevo lɛ́ɛ jɛ wɛ lɛ́ɛ é ( aɖɔ̌ víví zɔn " hùn yì jǐ zɔn " kpɛ́n gbɔ xíí " hùn jí zɔn " xúɖu xúɖu ) kpódó mɛxo ée ko ɖó xwè 60 jɛji lɛ́ɛ é kpán .	NOUN ADJ PRON VERB VERB ADV ADJ DET VERB AUX ADV DET PUNCT NOUN PRON ADV VERB NOUN ADJ DET VERB VERB DET PART PUNCT NOUN VERB ADV PUNCT NOUN VERB ADP ADV PUNCT ADV ADP NOUN PUNCT NOUN ADP ADV PUNCT NOUN ADV PUNCT CCONJ NOUN PRON ADV VERB NOUN NUM ADV DET PART CCONJ PUNCT
53	Xó è kàn Kovidi - 19 è bǐ : yɛ̌n nukɔntɔn dídó nɛ́ gudo ɔ́ " Benjamin Hùnkpátín ná lɛ́ɛ dó wegɔ́ ɔ́ ɖò azǎn 31ɔ́ nǔxwásùn ɔ́ tɔn gbè bó ná nyí Kpɔndewu ɖò tutomɛ ée ɖò za li xá azɔnkwín Kovidi - 19 wɛ́ é gɔ́n .	NOUN PRON VERB NOUN PUNCT NUM PRON ADJ PUNCT NOUN NOUN ADV ADJ ADV DET PUNCT PROPN PROPN VERB DET VERB ADJ DET AUX NOUN NUM PROPN DET ADJ NOUN ADP VERB AUX NOUN VERB NOUN PRON VERB VERB ADV ADV NOUN PROPN PUNCT NUM VERB PRON VERB PUNCT
54	Gǎn - hɔn - yì - tɔ́ ée nɔ́ kpénúkún dó lanmɛ ná nɔ̀ ganjí wú é ɔ́ lɛ́ ɖò mɛ ée yɛ̌n nɛ́ ɔ́ kàn é lɛ́ɛ dá wɛ nú ye ná síxú yí dó xɛsi mɛvo .	NOUN PUNCT VERB PUNCT VERB PUNCT ADJ PRON AUX VERB ADP NOUN VERB VERB ADV ADP PART DET ADV VERB NOUN PRON VERB ADJ DET NOUN PART DET VERB VERB ADP PRON VERB VERB VERB ADP NOUN NOUN PUNCT
55	Yɛ̌n ɔ́ dídó ká ná zɔ́n bɔ è ná gɔn walɔ ɖagbe è ɖó bó nyì alɔ nú azɔnkwín ɔ́ ɖó ǎ " Benjamin Hùnkpátín wɛ́ ɖɔ mɔ̌ .	PRON DET VERB ADV VERB VERB CCONJ PRON VERB VERB NOUN ADJ PRON VERB ADP VERB NOUN ADP NOUN DET AUX PART PUNCT PROPN PROPN VERB VERB ADV PUNCT
56	Kpá globoto è è sí bó ná nyì alɔ nú azɔnkwín ɔ́ " è ná vún í ɖò azǎn 11ɔ́ nǔxwásùn xwè 2020ɔ́ tɔn gbè " amɔ̌ za li xá azɔnkwín ɔ́ sín walɔ lɛ́ɛ kpó ɖòtè tɛgbɛ .	NOUN NOUN PRON PRON VERB ADP VERB VERB NOUN ADP NOUN DET PUNCT PRON VERB VERB ADP VERB NOUN NUM PROPN NOUN NUM ADJ NOUN PUNCT CCONJ VERB VERB VERB NOUN DET ADP NOUN DET CCONJ ADV NOUN PUNCT
57	Ɖò kplé è gǎn - hɔn - yì - tɔ́ lɛ́ɛ yì é dó ɔ́ " ye sɔ́ gbetakɛ́n ɖɔ mɛ ɖokpó ɖokpó ní jɛ nǔ è nɔ́ ko wá ɖayǐ é wú kpɛɖé kpɛɖé " bó ká xwédó zali xá azɔnkwín sín walɔ lɛ́ɛ .	ADP VERB PRON NOUN PUNCT VERB PUNCT VERB PUNCT ADJ DET VERB PRON VERB DET PUNCT PRON VERB VERB ADP PRON NUM NUM ADP VERB NOUN PRON VERB ADV VERB ADV PRON ADP ADV ADV PUNCT ADP ADV NOUN VERB ADV NOUN ADP NOUN DET PUNCT
58	Kpá globoto è è sí bó sɔ́ ɖayǐ ɖò azǎn 30ɔ́ xwèjísùn ɔ́ tɔn ɔ́ " azɔn we wɛ è lɛ́ sísɛ́ dó nukɔn " bɛ́ gbɔn tokpɔnla afɔtɔn mɛ̀ ;	NOUN NOUN PRON PRON VERB ADP VERB ADV ADP NOUN NUM PROPN DET ADJ DET PUNCT NOUN NUM VERB PRON DET VERB VERB ADJ PUNCT CCONJ ADP NOUN NUM ADP PUNCT
59	è ná hùn nǔ sín élɔ́ nù kpɛɖé kpɛɖé .	PRON VERB VERB NOUN ADP ADJ ADP ADV ADV PUNCT
60	Gbetakɛ́n nɛ́ ná dalɔ tò ɔ́ bɔ ajɔ̌ lɛ́ɛ ná bɛ́ bɔ nǔ wà lóbó mɔ kwɛ́ ná bɛ́ " bɔ mɛ ɖokpó ɖokpó ná lɛ́ jɛ éɖee sí .	NOUN ADJ VERB VERB NOUN DET CCONJ NOUN DET VERB VERB CCONJ NOUN VERB CCONJ VERB ADV VERB VERB PUNCT CCONJ NOUN NUM NUM VERB DET VERB PRON ADP PUNCT
